,reliable_sensor1,reliable_sensor2,reliable_sensor3,reliable_sensor4,unreliable_sensor1,unreliable_sensor2,unreliable_sensor3,unreliable_sensor4,robot1,robot2,door_sensor1,door_sensor2,door_sensor3,door_sensor4,time,electricity_price,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,c1,c2,c3,c4,o1,outside
0,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,"('r1', 0)","('c3', 0)",0,0,0,0,08:00:15,1.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,"('r1', 0)","('c3', 0)",0,0,0,0,08:00:30,1.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,no motion,no motion,motion,no motion,no motion,no motion,no motion,motion,"('r3', 0)","('c3', 0)",0,0,0,0,08:00:45,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
3,no motion,no motion,motion,no motion,motion,no motion,no motion,no motion,"('r3', 0)","('r21', 0)",0,2,1,0,08:01:00,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0
4,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,"('r7', 0)","('c3', 0)",0,3,0,0,08:01:15,0.9603999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,1,0,0,0,0,0,0,0,0,6,5,0,0,0,0
5,no motion,no motion,motion,no motion,motion,no motion,no motion,no motion,"('c1', 8)","('r21', 0)",0,4,2,0,08:01:30,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,8,7,0,1,0,0
6,no motion,no motion,motion,no motion,no motion,no motion,motion,no motion,"('c1', 9)","('c3', 0)",0,1,0,0,08:01:45,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,5,0,4,0,0
7,no motion,no motion,no motion,motion,motion,no motion,motion,no motion,"('c1', 8)","('c3', 0)",0,2,0,3,08:02:00,0.9603999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,8,4,0,2,2,0
8,no motion,no motion,no motion,motion,motion,no motion,motion,no motion,"('c1', 0)","('c3', 0)",0,9,0,1,08:02:15,0.9411919999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,8,0,4,4,0
9,no motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('r19', 0)",0,0,0,0,08:02:30,0.9223681599999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,7,3,3,3,0
10,no motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('c3', 3)",0,0,0,1,08:02:45,0.9223681599999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,3,6,4,0
11,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('r19', 0)",0,0,0,2,08:03:00,0.9223681599999999,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,3,3,7,0
12,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('c3', 2)",0,0,0,0,08:03:15,0.9411919999999999,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,3,7,0
13,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('c3', 6)",0,0,0,0,08:03:30,0.9411919999999999,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,3,3,0
14,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('c3', 8)",0,0,0,0,08:03:45,0.9223681599999999,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,8,3,0,0
15,motion,no motion,no motion,motion,no motion,motion,no motion,motion,"('c1', 0)","('r10', 4)",0,0,0,0,08:04:00,0.9039207967999998,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,3,0,0
16,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('r25', 0)","('r10', 5)",0,0,0,0,08:04:15,0.9039207967999998,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,3,0,0
17,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('c1', 0)","('c3', 1)",0,0,0,0,08:04:30,0.9039207967999998,0,0,1,0,0,0,0,0,0,6,1,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,0,0
18,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('c1', 0)","('c3', 0)",0,0,0,0,08:04:45,0.9223681599999999,0,0,1,0,0,0,0,0,0,6,1,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0
19,motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,"('c2', 0)","('c3', 1)",0,0,0,0,08:05:00,0.9411919999999999,0,0,1,0,0,0,0,0,0,6,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,0,0
20,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('c2', 0)","('c3', 1)",0,0,0,0,08:05:15,0.9223681599999999,0,0,1,0,0,0,0,0,0,6,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,0,0
21,motion,no motion,no motion,motion,no motion,no motion,no motion,motion,"('c2', 0)","('c3', 1)",0,0,0,0,08:05:30,0.9039207967999998,0,0,1,0,0,0,0,0,0,6,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,0,0
22,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 0)","('r15', 2)",0,0,0,0,08:05:45,0.8858423808639998,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,3,0,0
23,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 0)","('c3', 2)",0,0,0,0,08:06:00,0.9039207967999998,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,1,0
24,motion,no motion,no motion,motion,motion,motion,no motion,motion,"('c2', 0)","('c3', 1)",0,0,0,0,08:06:15,0.9039207967999998,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,1,0
